season,location_name,iso2_code,target_group,vaccine_coverage,source,is_reference
2020-2021,Slovakia,SK,65+y,12.9,EUROSTAT,False
2019-2020,Slovakia,SK,65+y,12.8,EUROSTAT,False
2018-2019,Slovakia,SK,65+y,11.5,EUROSTAT,False
2017-2018,Slovakia,SK,65+y,12.5,EUROSTAT,False
2016-2017,Slovakia,SK,65+y,13,EUROSTAT,False
2015-2016,Slovakia,SK,65+y,13.3,EUROSTAT,False
2014-2015,Slovakia,SK,65+y,13.8,EUROSTAT,False
2013-2014,Slovakia,SK,65+y,14.1,EUROSTAT,False
2012-2013,Slovakia,SK,65+y,15.6,EUROSTAT,False
2021-2022,Slovakia,SK,65+y,5.6,EUROSTAT,True
2020-2021,Finland,FI,65+y,62.7,EUROSTAT,False
2019-2020,Finland,FI,65+y,53.7,EUROSTAT,False
2018-2019,Finland,FI,65+y,47.3,EUROSTAT,False
2017-2018,Finland,FI,65+y,49.6,EUROSTAT,False
2016-2017,Finland,FI,65+y,47.7,EUROSTAT,False
2015-2016,Finland,FI,65+y,47.4,EUROSTAT,False
2014-2015,Finland,FI,65+y,43.1,EUROSTAT,False
2013-2014,Finland,FI,65+y,40,EUROSTAT,False
2012-2013,Finland,FI,65+y,41,EUROSTAT,False
2021-2022,Finland,FI,65+y,59.5,EUROSTAT,True
2020-2021,Sweden,SE,65+y,60.4,EUROSTAT,False
2019-2020,Sweden,SE,65+y,52.8,EUROSTAT,False
2018-2019,Sweden,SE,65+y,52.2,EUROSTAT,False
2017-2018,Sweden,SE,65+y,49.8,EUROSTAT,False
2016-2017,Sweden,SE,65+y,49.4,EUROSTAT,False
2015-2016,Sweden,SE,65+y,49.1,EUROSTAT,False
2014-2015,Sweden,SE,65+y,49.7,EUROSTAT,False
2013-2014,Sweden,SE,65+y,45.8,EUROSTAT,False
2012-2013,Sweden,SE,65+y,44.3,EUROSTAT,False
2021-2022,Sweden,SE,65+y,70.0,EUROSTAT,True
2020-2021,Iceland,IS,65+y,60.4,EUROSTAT,True
2019-2020,Iceland,IS,65+y,54.6,EUROSTAT,False
2018-2019,Iceland,IS,65+y,47.5,EUROSTAT,False
2017-2018,Iceland,IS,65+y,49.4,EUROSTAT,False
2016-2017,Iceland,IS,65+y,45,EUROSTAT,False
2015-2016,Iceland,IS,65+y,47,EUROSTAT,False
2014-2015,Iceland,IS,65+y,43,EUROSTAT,False
2020-2021,Liechtenstein,LI,65+y,20.2,EUROSTAT,False
2019-2020,Liechtenstein,LI,65+y,20.2,EUROSTAT,False
2018-2019,Liechtenstein,LI,65+y,20.2,EUROSTAT,False
2017-2018,Liechtenstein,LI,65+y,20.2,EUROSTAT,False
2016-2017,Liechtenstein,LI,65+y,20.2,EUROSTAT,False
2015-2016,Liechtenstein,LI,65+y,27.8,EUROSTAT,False
2014-2015,Liechtenstein,LI,65+y,27.8,EUROSTAT,False
2013-2014,Liechtenstein,LI,65+y,27.8,EUROSTAT,False
2012-2013,Liechtenstein,LI,65+y,27.8,EUROSTAT,False
2021-2022,Liechtenstein,LI,65+y,20.2,EUROSTAT,True
2020-2021,Norway,NO,65+y,65.5,EUROSTAT,False
2019-2020,Norway,NO,65+y,57,EUROSTAT,False
2018-2019,Norway,NO,65+y,43,EUROSTAT,False
2017-2018,Norway,NO,65+y,38.2,EUROSTAT,False
2016-2017,Norway,NO,65+y,34.4,EUROSTAT,False
2015-2016,Norway,NO,65+y,38,EUROSTAT,False
2014-2015,Norway,NO,65+y,27,EUROSTAT,False
2013-2014,Norway,NO,65+y,26.9,EUROSTAT,False
2012-2013,Norway,NO,65+y,30.9,EUROSTAT,False
2021-2022,Norway,NO,65+y,63.3,EUROSTAT,True
