date,location_name,iso2_code,target_group,dose,doses_administered
2023-10-31,Iceland,IS,Age60_69,,4682
2023-10-31,Italy,IT,Age60_69,,59054
2023-10-31,Liechtenstein,LI,Age60_69,,63
2023-10-31,Luxembourg,LU,Age60_69,,1695
2023-10-31,Malta,MT,Age60_69,,118
2023-10-31,Netherlands,NL,Age60_69,,374337
2023-10-31,Norway,NO,Age60_69,,72421
2023-10-31,Poland,PL,Age60_69,,1527
2023-10-31,Portugal,PT,Age60_69,,281009
2023-10-31,Sweden,SE,Age60_69,,23593
2023-10-31,Slovenia,SI,Age60_69,,3094
2023-10-31,Slovakia,SK,Age60_69,,2839
2023-10-31,Belgium,BE,Age70_79,,352718
2023-10-31,Bulgaria,BG,Age70_79,,7934
2023-10-31,Cyprus,CY,Age70_79,,885
2023-10-31,Czechia,CZ,Age70_79,,73729
2023-10-31,Denmark,DK,Age70_79,,332154
2023-10-31,Estonia,EE,Age70_79,,4384
2023-10-31,Greece,GR,Age70_79,,7514
2023-10-31,Spain,ES,Age70_79,,852415
2023-10-31,Finland,FI,Age70_79,,4825
2023-10-31,France,FR,Age70_79,,836485
2023-10-31,Hungary,HU,Age70_79,,174
2023-10-31,Ireland,IE,Age70_79,,120327
2023-10-31,Iceland,IS,Age70_79,,5727
2023-10-31,Italy,IT,Age70_79,,80504
2023-10-31,Liechtenstein,LI,Age70_79,,71
2023-10-31,Luxembourg,LU,Age70_79,,1853
2023-10-31,Malta,MT,Age70_79,,0
2023-10-31,Netherlands,NL,Age70_79,,222733
2023-10-31,Norway,NO,Age70_79,,135026
2023-10-31,Poland,PL,Age70_79,,1420
2023-10-31,Portugal,PT,Age70_79,,370805
2023-10-31,Sweden,SE,Age70_79,,34948
2023-10-31,Slovenia,SI,Age70_79,,4681
2023-10-31,Slovakia,SK,Age70_79,,3358
2023-10-31,Belgium,BE,Age80+,,218316
2023-10-31,Bulgaria,BG,Age80+,,3149
2023-10-31,Cyprus,CY,Age80+,,621
2023-10-31,Czechia,CZ,Age80+,,38105
2023-10-31,Denmark,DK,Age80+,,168197
2023-10-31,Estonia,EE,Age80+,,2737
2023-10-31,Greece,GR,Age80+,,4050
2023-10-31,Spain,ES,Age80+,,1079908
2023-10-31,Finland,FI,Age80+,,4254
2023-10-31,France,FR,Age80+,,656052
2023-10-31,Hungary,HU,Age80+,,83
2023-10-31,Ireland,IE,Age80+,,79547
2023-10-31,Iceland,IS,Age80+,,3539
2023-10-31,Italy,IT,Age80+,,88254
2023-10-31,Liechtenstein,LI,Age80+,,30
2023-10-31,Luxembourg,LU,Age80+,,1699
