YearWeekISO,ReportingCountry,Denominator,NumberOfIndivOneDose,Region,TargetGroup,Vaccine,Population
2023-10,CY,743863,3080,CY,ALL,COMXBB,920701
2024-03,CY,743863,1,CY,ALL,NVXDXBB,920701
2023-09,CY,743863,1088,CY,ALL,COMXBB,920701
2023-11,CY,743863,1209,CY,ALL,COMXBB,920701
2024-02,CY,,0,CY,HCW,NVXDXBB,920701
2024-03,CY,,0,CY,Pregnant,COMXBB,920701
2023-12,CY,,2,CY,Age60+,NVXDXBB,920701
2024-01,CY,,0,CY,Age60+,NVXDXBB,920701
2024-01,CY,,150,CY,Age60+,COMXBB,920701
2023-12,CY,,0,CY,Chronic,COMXBB,920701
2023-10,CY,,442,CY,Chronic,COMXBB,920701
2023-09,CY,,3,CY,Chronic,OTHER,920701
2024-02,CY,36786,0,CY,Age80+,NVXDXBB,920701
2024-01,CY,36786,47,CY,Age80+,COMXBB,920701
2024-01,CY,36786,0,CY,Age80+,NVXDXBB,920701
2023-11,CY,36786,232,CY,Age80+,COMXBB,920701
2023-10,CY,36786,621,CY,Age80+,COMXBB,920701
2024-04,CY,36786,3,CY,Age80+,COMXBB,920701
2023-09,CY,36786,0,CY,Age80+,OTHER,920701
2023-12,CY,36786,0,CY,Age80+,NVXDXBB,920701
2023-10,CY,36786,0,CY,Age80+,OTHER,920701
2024-03,CY,36786,3,CY,Age80+,COMXBB,920701
2024-03,CY,36786,0,CY,Age80+,NVXDXBB,920701
2024-04,CY,,0,CY,Pregnant,COMXBB,920701
2024-03,CY,,0,CY,Chronic,COMXBB,920701
2024-03,CY,,0,CY,Chronic,NVXDXBB,920701
2024-02,CY,,0,CY,Chronic,NVXDXBB,920701
2024-03,CY,,11,CY,Age60+,COMXBB,920701
2023-10,CY,,0,CY,Age60+,OTHER,920701
2024-02,CY,,14,CY,Age60+,COMXBB,920701
2023-11,CY,,1039,CY,Age60+,COMXBB,920701
2023-12,CY,,420,CY,Age60+,COMXBB,920701
2024-01,CY,,0,CY,Chronic,NVXDXBB,920701
2024-01,CY,,9,CY,Chronic,COMXBB,920701
2023-09,CY,,40,CY,Chronic,COMXBB,920701
