"rep","month","VE_inf","VE_sev"
125,6,0.759105125954951,0.786138090142344
125,7,0.751186775162312,0.777937754040844
125,8,0.741618673905676,0.768028917186767
125,9,0.730463579641878,0.75647657193173
125,10,0.717815219235669,0.743377782906086
125,11,0.703789410853033,0.728852492748472
125,12,0.688516802971355,0.713036002540358
125,13,0.672136985314267,0.696072873021737
125,14,0.654793760060631,0.67811202740019
125,15,0.636631390926353,0.659302866856425
125,16,0.61779167319866,0.639792236237725
125,17,0.598411689977418,0.619722100395377
125,18,0.578622139154587,0.599227811585162
125,19,0.558546132400259,0.578436865683332
125,20,0.538298381938189,0.557468060001897
125,21,0.517984703463912,0.536430978504859
125,22,0.49770177442945,0.515425741485038
125,23,0.477537096305675,0.49454296648254
125,24,0.457569117526049,0.473863895606724
125,25,0.437867480779956,0.453460651636045
125,26,0.418493364306098,0.433396591465467
125,27,0.399499891964565,0.413726730781863
125,28,0.38093259125226,0.394498218390107
125,29,0.362829882168715,0.375750842488201
125,30,0.345223583023941,0.357517554487761
125,31,0.328139421981931,0.339824998774407
125,32,0.311597545418514,0.322694039169076
125,33,0.29561301609778,0.306140274845302
125,34,0.280196295787076,0.290174540130932
125,35,0.265353708280451,0.274803384020571
125,36,0.25108787992189,0.260029526386571
126,0,0.773943154378212,0.799843531831974
126,1,0.773842193085014,0.799739191820859
126,2,0.773190262633129,0.799065444204908
126,3,0.771573726432147,0.797394809847573
126,4,0.768704150207044,0.794429201883004
126,5,0.764394945148667,0.789975787218398
126,6,0.758541577011299,0.783926533319554
126,7,0.751104854607941,0.776240937447679
126,8,0.742096872900772,0.766931499328637
126,9,0.73156924018259,0.756051554351405
126,10,0.719603266560401,0.743685133704569
126,11,0.706301832852258,0.729938561161916
126,12,0.691782695773833,0.714933534223871
126,13,0.676173017525505,0.698801470634609
126,14,0.659604936128737,0.681678930477616
126,15,0.642212017575925,0.663703949595044
126,16,0.624126452470095,0.645013142411606
126,17,0.605476878710991,0.625739451755828
126,18,0.586386728260629,0.606010440299311
126,19,0.566973010384509,0.58594703307853
126,20,0.547345456271092,0.5656626334886
126,21,0.52760596080843,0.545262546378687
126,22,0.507848266743046,0.524843651641115
126,23,0.488157844639019,0.504494280153231
126,24,0.468611929150249,0.484294251263529
126,25,0.449279678253463,0.464315037353471
126,26,0.430222427384476,0.444620026478539
126,27,0.411494014982005,0.425264858806524
126,28,0.393141159865502,0.406297816624495
126,29,0.375203874238413,0.387760251163404
126,30,0.35771589898816,0.36968703246559
126,31,0.34070515041253,0.352107011061088
126,32,0.324194169594671,0.33504348238116
126,33,0.308200567424219,0.31851464667228
126,34,0.292737459763114,0.302534058724974
126,35,0.277813888518505,0.287111063038134
126,36,0.263435225444663,0.272251211134356
127,0,0.768386439032719,0.779044920005684
