DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2015,67849,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2016,66024,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2017,63414,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2018,63025,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2019,63228,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2020,62252,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2021,54027,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2022,60498,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2023,56877,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,France,2024,56300,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2015,5160,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2016,4962,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2017,4616,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2018,4550,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2019,4270,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2020,3964,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2021,3621,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2022,3575,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2023,3587,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Georgia,2024,3349,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2015,3275,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2016,3013,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2017,3048,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2018,3128,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2019,3119,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2020,3192,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2021,3053,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2022,3012,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2023,2775,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Croatia,2024,2924,,
