location_name,iso2_code,yearweek,week_end_date,age,value,source
Austria,AT,2022-W05,2022-02-06,15-64,35.65376344086022,sentinel
Austria,AT,2022-W05,2022-02-06,5-14,17.43010752688172,sentinel
Austria,AT,2022-W05,2022-02-06,65+,8.722580645161292,sentinel
Austria,AT,2022-W05,2022-02-06,total,27.10107526881721,sentinel
Austria,AT,2022-W04,2022-01-30,0-4,9.28643216080402,sentinel
Austria,AT,2022-W04,2022-01-30,15-64,42.391959798994975,sentinel
Austria,AT,2022-W04,2022-01-30,5-14,9.459798994974877,sentinel
Austria,AT,2022-W04,2022-01-30,65+,11.984924623115578,sentinel
Austria,AT,2022-W04,2022-01-30,total,28.34170854271357,sentinel
Austria,AT,2022-W03,2022-01-23,0-4,13.653191489361705,sentinel
Austria,AT,2022-W03,2022-01-23,15-64,30.77021276595745,sentinel
Austria,AT,2022-W03,2022-01-23,5-14,5.561702127659574,sentinel
Austria,AT,2022-W03,2022-01-23,65+,15.751063829787231,sentinel
Austria,AT,2022-W03,2022-01-23,total,21.206382978723404,sentinel
Austria,AT,2022-W02,2022-01-16,0-4,10.942105263157892,sentinel
Austria,AT,2022-W02,2022-01-16,15-64,32.14144736842105,sentinel
Austria,AT,2022-W02,2022-01-16,5-14,6.501315789473684,sentinel
Austria,AT,2022-W02,2022-01-16,65+,10.673684210526314,sentinel
Austria,AT,2022-W02,2022-01-16,total,22.156578947368416,sentinel
Austria,AT,2022-W01,2022-01-09,0-4,34.95789473684211,sentinel
Austria,AT,2022-W01,2022-01-09,15-64,62.455263157894734,sentinel
Austria,AT,2022-W01,2022-01-09,5-14,3.8684210526315783,sentinel
Austria,AT,2022-W01,2022-01-09,65+,27.619736842105265,sentinel
Austria,AT,2022-W01,2022-01-09,total,42.181578947368415,sentinel
Austria,AT,2021-W52,2022-01-02,0-4,,sentinel
Austria,AT,2021-W52,2022-01-02,15-64,,sentinel
Austria,AT,2021-W52,2022-01-02,5-14,,sentinel
Austria,AT,2021-W52,2022-01-02,65+,,sentinel
Austria,AT,2021-W52,2022-01-02,total,,sentinel
Austria,AT,2021-W51,2021-12-26,0-4,,sentinel
Austria,AT,2021-W51,2021-12-26,15-64,,sentinel
Austria,AT,2021-W51,2021-12-26,5-14,,sentinel
Austria,AT,2021-W51,2021-12-26,65+,,sentinel
Austria,AT,2021-W51,2021-12-26,total,,sentinel
Austria,AT,2021-W50,2021-12-19,0-4,12.318571428571428,sentinel
Austria,AT,2021-W50,2021-12-19,15-64,26.857142857142858,sentinel
Austria,AT,2021-W50,2021-12-19,5-14,6.05,sentinel
Austria,AT,2021-W50,2021-12-19,65+,49.97285714285714,sentinel
Austria,AT,2021-W50,2021-12-19,total,25.22571428571429,sentinel
Austria,AT,2021-W49,2021-12-12,0-4,,sentinel
Austria,AT,2021-W49,2021-12-12,15-64,,sentinel
Austria,AT,2021-W49,2021-12-12,5-14,,sentinel
Austria,AT,2021-W49,2021-12-12,65+,,sentinel
Austria,AT,2021-W49,2021-12-12,total,,sentinel
Austria,AT,2021-W48,2021-12-05,0-4,,sentinel
Austria,AT,2021-W48,2021-12-05,15-64,,sentinel
Austria,AT,2021-W48,2021-12-05,5-14,,sentinel
Austria,AT,2021-W48,2021-12-05,65+,,sentinel
Austria,AT,2021-W48,2021-12-05,total,,sentinel
Austria,AT,2021-W47,2021-11-28,0-4,,sentinel
Austria,AT,2021-W47,2021-11-28,15-64,,sentinel
Austria,AT,2021-W47,2021-11-28,5-14,,sentinel
Austria,AT,2021-W47,2021-11-28,65+,,sentinel
Austria,AT,2021-W47,2021-11-28,total,,sentinel
Austria,AT,2021-W46,2021-11-21,0-4,,sentinel
Austria,AT,2021-W46,2021-11-21,15-64,,sentinel
Austria,AT,2021-W46,2021-11-21,5-14,,sentinel
Austria,AT,2021-W46,2021-11-21,65+,,sentinel
Austria,AT,2021-W46,2021-11-21,total,,sentinel
Austria,AT,2021-W45,2021-11-14,0-4,,sentinel
Austria,AT,2021-W45,2021-11-14,15-64,,sentinel
Austria,AT,2021-W45,2021-11-14,5-14,,sentinel
Austria,AT,2021-W45,2021-11-14,65+,,sentinel
Austria,AT,2021-W45,2021-11-14,total,,sentinel
Austria,AT,2021-W44,2021-11-07,0-4,,sentinel
Austria,AT,2021-W44,2021-11-07,15-64,,sentinel
Austria,AT,2021-W44,2021-11-07,5-14,,sentinel
Austria,AT,2021-W44,2021-11-07,65+,,sentinel
Austria,AT,2021-W44,2021-11-07,total,,sentinel
Austria,AT,2021-W43,2021-10-31,0-4,,sentinel
Austria,AT,2021-W43,2021-10-31,15-64,,sentinel
Austria,AT,2021-W43,2021-10-31,5-14,,sentinel
Austria,AT,2021-W43,2021-10-31,65+,,sentinel
Austria,AT,2021-W43,2021-10-31,total,,sentinel
Austria,AT,2021-W42,2021-10-24,0-4,,sentinel
Austria,AT,2021-W42,2021-10-24,15-64,,sentinel
Austria,AT,2021-W42,2021-10-24,5-14,,sentinel
Austria,AT,2021-W42,2021-10-24,65+,,sentinel
Austria,AT,2021-W42,2021-10-24,total,,sentinel
Austria,AT,2021-W41,2021-10-17,0-4,,sentinel
Austria,AT,2021-W41,2021-10-17,15-64,,sentinel
Austria,AT,2021-W41,2021-10-17,5-14,,sentinel
Austria,AT,2021-W41,2021-10-17,65+,,sentinel
Austria,AT,2021-W41,2021-10-17,total,,sentinel
Austria,AT,2021-W40,2021-10-10,0-4,,sentinel
Austria,AT,2021-W40,2021-10-10,15-64,,sentinel
Austria,AT,2021-W40,2021-10-10,5-14,,sentinel
Austria,AT,2021-W40,2021-10-10,65+,,sentinel
Austria,AT,2021-W40,2021-10-10,total,,sentinel
Austria,AT,2021-W12,2021-03-28,0-4,,sentinel
