country,iso2_code,age_group,reference_year,total_deaths
Norway,NO,70-74,2024,4127
Norway,NO,75-79,2024,6582
Norway,NO,80+,2024,25090
Poland,PL,<1,2024,898
Poland,PL,1-4,2024,203
Poland,PL,5-17,2024,698
Poland,PL,18-59,2024,51476
Poland,PL,60-64,2024,26815
Poland,PL,65-69,2024,46060
Poland,PL,70-74,2024,56274
Poland,PL,75-79,2024,54454
Poland,PL,80+,2024,171626
Portugal,PT,<1,2024,252
Portugal,PT,1-4,2024,32
Portugal,PT,5-17,2024,115
Portugal,PT,18-59,2024,9874
Portugal,PT,60-64,2024,5490
Portugal,PT,65-69,2024,7243
Portugal,PT,70-74,2024,9899
Portugal,PT,75-79,2024,13559
Portugal,PT,80+,2024,71910
Romania,RO,<1,2024,952
Romania,RO,1-4,2024,232
Romania,RO,5-17,2024,474
Romania,RO,18-59,2024,34464
Romania,RO,60-64,2024,15815
Romania,RO,65-69,2024,27052
Romania,RO,70-74,2024,32253
Romania,RO,75-79,2024,31877
Romania,RO,80+,2024,101456
Slovakia,SK,<1,2024,274
Slovakia,SK,1-4,2024,42
Slovakia,SK,5-17,2024,95
Slovakia,SK,18-59,2024,7326
Slovakia,SK,60-64,2024,3885
Slovakia,SK,65-69,2024,5833
Slovakia,SK,70-74,2024,7539
Slovakia,SK,75-79,2024,7685
Slovakia,SK,80+,2024,21197
Slovenia,SI,<1,2024,29
Slovenia,SI,1-4,2024,11
Slovenia,SI,5-17,2024,29
Slovenia,SI,18-59,2024,1727
Slovenia,SI,60-64,2024,1118
Slovenia,SI,65-69,2024,1684
Slovenia,SI,70-74,2024,2277
Slovenia,SI,75-79,2024,2457
Slovenia,SI,80+,2024,12174
Spain,ES,<1,2024,965
Spain,ES,1-4,2024,191
Spain,ES,5-17,2024,585
Spain,ES,18-59,2024,35388
Spain,ES,60-64,2024,20703
Spain,ES,65-69,2024,26683
Spain,ES,70-74,2024,33238
Spain,ES,75-79,2024,47785
Spain,ES,80+,2024,267773
Sweden,SE,<1,2024,194
Sweden,SE,1-4,2024,46
Sweden,SE,5-17,2024,166
Sweden,SE,18-59,2024,5791
Sweden,SE,60-64,2024,3147
Sweden,SE,65-69,2024,4910
Sweden,SE,70-74,2024,7780
Sweden,SE,75-79,2024,13393
Sweden,SE,80+,2024,55841
