country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
Cyprus,total,2026-01-11,2026-W2,2,2026,31
Cyprus,total,2026-01-18,2026-W3,3,2026,24
Cyprus,total,2026-01-25,2026-W4,4,2026,23
Cyprus,total,2026-02-01,2026-W5,5,2026,17
Cyprus,total,2026-02-08,2026-W6,6,2026,15
Cyprus,total,2026-02-15,2026-W7,7,2026,13
Cyprus,total,2026-02-22,2026-W8,8,2026,13
Cyprus,total,2026-03-01,2026-W9,9,2026,10
Cyprus,total,2026-03-08,2026-W10,10,2026,7
Cyprus,total,2026-03-15,2026-W11,11,2026,6
Cyprus,total,2026-03-22,2026-W12,12,2026,5
Cyprus,total,2026-03-29,2026-W13,13,2026,3
Cyprus,total,2026-04-05,2026-W14,14,2026,2
Cyprus,total,2026-04-12,2026-W15,15,2026,1
Cyprus,total,2026-04-19,2026-W16,16,2026,1
Cyprus,total,2026-04-26,2026-W17,17,2026,1
Cyprus,total,2026-05-03,2026-W18,18,2026,0
Czechia,total,2025-09-07,2025-W36,36,2025,12
Czechia,total,2025-09-14,2025-W37,37,2025,13
Czechia,total,2025-09-21,2025-W38,38,2025,19
Czechia,total,2025-09-28,2025-W39,39,2025,32
Czechia,total,2025-10-05,2025-W40,40,2025,46
Czechia,total,2025-10-12,2025-W41,41,2025,79
Czechia,total,2025-10-19,2025-W42,42,2025,117
Czechia,total,2025-10-26,2025-W43,43,2025,186
Czechia,total,2025-11-02,2025-W44,44,2025,256
Czechia,total,2025-11-09,2025-W45,45,2025,354
Czechia,total,2025-11-16,2025-W46,46,2025,467
Czechia,total,2025-11-23,2025-W47,47,2025,552
Czechia,total,2025-11-30,2025-W48,48,2025,647
Czechia,total,2025-12-07,2025-W49,49,2025,656
Czechia,total,2025-12-14,2025-W50,50,2025,680
Czechia,total,2025-12-21,2025-W51,51,2025,634
Czechia,total,2025-12-28,2025-W52,52,2025,569
Czechia,total,2026-01-04,2026-W1,1,2026,501
Czechia,total,2026-01-11,2026-W2,2,2026,387
Czechia,total,2026-01-18,2026-W3,3,2026,299
Czechia,total,2026-01-25,2026-W4,4,2026,272
Czechia,total,2026-02-01,2026-W5,5,2026,235
Czechia,total,2026-02-08,2026-W6,6,2026,205
Czechia,total,2026-02-15,2026-W7,7,2026,181
Czechia,total,2026-02-22,2026-W8,8,2026,173
Czechia,total,2026-03-01,2026-W9,9,2026,149
Czechia,total,2026-03-08,2026-W10,10,2026,121
Czechia,total,2026-03-15,2026-W11,11,2026,111
Czechia,total,2026-03-22,2026-W12,12,2026,92
Czechia,total,2026-03-29,2026-W13,13,2026,83
Czechia,total,2026-04-05,2026-W14,14,2026,69
Czechia,total,2026-04-12,2026-W15,15,2026,58
Czechia,total,2026-04-19,2026-W16,16,2026,51
Czechia,total,2026-04-26,2026-W17,17,2026,40
Czechia,total,2026-05-03,2026-W18,18,2026,38
Denmark,total,2025-09-07,2025-W36,36,2025,5
Denmark,total,2025-09-14,2025-W37,37,2025,6
Denmark,total,2025-09-21,2025-W38,38,2025,9
Denmark,total,2025-09-28,2025-W39,39,2025,15
Denmark,total,2025-10-05,2025-W40,40,2025,25
