survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W37,2022-09-18,deaths,15-64,3
non-sentinel,Austria,AT,2022-W37,2022-09-18,deaths,5-14,0
non-sentinel,Austria,AT,2022-W37,2022-09-18,deaths,65+,27
non-sentinel,Austria,AT,2022-W37,2022-09-18,deaths,total,30
non-sentinel,Austria,AT,2022-W36,2022-09-11,deaths,0-4,1
non-sentinel,Austria,AT,2022-W36,2022-09-11,deaths,15-64,4
non-sentinel,Austria,AT,2022-W36,2022-09-11,deaths,5-14,0
non-sentinel,Austria,AT,2022-W36,2022-09-11,deaths,65+,42
non-sentinel,Austria,AT,2022-W36,2022-09-11,deaths,total,47
non-sentinel,Austria,AT,2022-W35,2022-09-04,deaths,0-4,0
non-sentinel,Austria,AT,2022-W35,2022-09-04,deaths,15-64,2
non-sentinel,Austria,AT,2022-W35,2022-09-04,deaths,5-14,0
non-sentinel,Austria,AT,2022-W35,2022-09-04,deaths,65+,36
non-sentinel,Austria,AT,2022-W35,2022-09-04,deaths,total,38
non-sentinel,Austria,AT,2022-W34,2022-08-28,deaths,0-4,0
non-sentinel,Austria,AT,2022-W34,2022-08-28,deaths,15-64,5
non-sentinel,Austria,AT,2022-W34,2022-08-28,deaths,5-14,0
non-sentinel,Austria,AT,2022-W34,2022-08-28,deaths,65+,48
non-sentinel,Austria,AT,2022-W34,2022-08-28,deaths,total,53
non-sentinel,Austria,AT,2022-W33,2022-08-21,deaths,0-4,0
non-sentinel,Austria,AT,2022-W33,2022-08-21,deaths,15-64,6
non-sentinel,Austria,AT,2022-W33,2022-08-21,deaths,5-14,0
non-sentinel,Austria,AT,2022-W33,2022-08-21,deaths,65+,56
non-sentinel,Austria,AT,2022-W33,2022-08-21,deaths,total,62
non-sentinel,Austria,AT,2022-W32,2022-08-14,deaths,0-4,0
non-sentinel,Austria,AT,2022-W32,2022-08-14,deaths,15-64,4
non-sentinel,Austria,AT,2022-W32,2022-08-14,deaths,5-14,0
non-sentinel,Austria,AT,2022-W32,2022-08-14,deaths,65+,67
non-sentinel,Austria,AT,2022-W32,2022-08-14,deaths,total,71
non-sentinel,Austria,AT,2022-W31,2022-08-07,deaths,0-4,0
non-sentinel,Austria,AT,2022-W31,2022-08-07,deaths,15-64,6
non-sentinel,Austria,AT,2022-W31,2022-08-07,deaths,5-14,0
non-sentinel,Austria,AT,2022-W31,2022-08-07,deaths,65+,62
non-sentinel,Austria,AT,2022-W31,2022-08-07,deaths,total,68
non-sentinel,Austria,AT,2022-W30,2022-07-31,deaths,0-4,0
non-sentinel,Austria,AT,2022-W30,2022-07-31,deaths,15-64,9
non-sentinel,Austria,AT,2022-W30,2022-07-31,deaths,5-14,0
non-sentinel,Austria,AT,2022-W30,2022-07-31,deaths,65+,94
non-sentinel,Austria,AT,2022-W30,2022-07-31,deaths,total,103
non-sentinel,Austria,AT,2022-W29,2022-07-24,deaths,0-4,1
non-sentinel,Austria,AT,2022-W29,2022-07-24,deaths,15-64,7
non-sentinel,Austria,AT,2022-W29,2022-07-24,deaths,5-14,0
non-sentinel,Austria,AT,2022-W29,2022-07-24,deaths,65+,88
non-sentinel,Austria,AT,2022-W29,2022-07-24,deaths,total,96
non-sentinel,Austria,AT,2022-W28,2022-07-17,deaths,0-4,0
non-sentinel,Austria,AT,2022-W28,2022-07-17,deaths,15-64,5
non-sentinel,Austria,AT,2022-W28,2022-07-17,deaths,5-14,0
non-sentinel,Austria,AT,2022-W28,2022-07-17,deaths,65+,56
non-sentinel,Austria,AT,2022-W28,2022-07-17,deaths,total,61
non-sentinel,Austria,AT,2022-W27,2022-07-10,deaths,0-4,0
non-sentinel,Austria,AT,2022-W27,2022-07-10,deaths,15-64,8
non-sentinel,Austria,AT,2022-W27,2022-07-10,deaths,5-14,0
non-sentinel,Austria,AT,2022-W27,2022-07-10,deaths,65+,60
non-sentinel,Austria,AT,2022-W27,2022-07-10,deaths,total,68
non-sentinel,Austria,AT,2022-W26,2022-07-03,deaths,0-4,0
non-sentinel,Austria,AT,2022-W26,2022-07-03,deaths,15-64,7
non-sentinel,Austria,AT,2022-W26,2022-07-03,deaths,5-14,0
